m49_a3_country,country,continent,region_un,region_wb,su_a3
804,Ukraine,Europe,Europe,Europe & Central Asia,UKR
784,United Arab Emirates,Asia,Asia,Middle East & North Africa,ARE
826,United Kingdom,Europe,Europe,Europe & Central Asia,GBR
834,United Rep. of Tanzania,Africa,Africa,Sub-Saharan Africa,TZA
850,United States Virgin Islands,No continent,No region,No subregion,VIR
840,United States of America,North America,Americas,North America,USA
858,Uruguay,South America,Americas,Latin America & Caribbean,URY
860,Uzbekistan,Asia,Asia,Europe & Central Asia,UZB
548,Vanuatu,Oceania,Oceania,East Asia & Pacific,VUT
862,Venezuela (Boliv. Rep. of),South America,Americas,Latin America & Caribbean,VEN
704,Viet Nam,Asia,Asia,East Asia & Pacific,VNM
876,Wallis and Futuna Islands,No continent,No region,No subregion,WLF
887,Yemen,Asia,Asia,Middle East & North Africa,YEM
894,Zambia,Africa,Africa,Sub-Saharan Africa,ZMB
716,Zimbabwe,Africa,Africa,Sub-Saharan Africa,ZWE
732,Western Sahara,Africa,Africa,Middle East & North Africa,SAH
010,Antarctica,Antarctica,No Region,No subregion,ATA
